strain,date,country
EPI_ISL_437619,2020-01-26,Thailand
EPI_ISL_406036,2020-01-22,USA
EPI_ISL_416411,2020-01-25,Australia
EPI_ISL_408977,2020-01-25,Australia
EPI_ISL_410716,2020-02-04,Singapore
EPI_ISL_410715,2020-02-04,Singapore
EPI_ISL_410536,2020-02-06,Singapore
EPI_ISL_425117,2020-02-23,South Korea
EPI_ISL_454992,2020-02-27,China
EPI_ISL_454961,2020-03-19,China
EPI_ISL_457987,2020-03-20,Oman
EPI_ISL_402129,2019-12-30,China
EPI_ISL_412899,2019-12-30,China
EPI_ISL_417064,2020-01-21,Hong Kong
EPI_ISL_434563,2020-01-23,Hong Kong
EPI_ISL_434564,2020-01-24,Hong Kong
EPI_ISL_413522,2020-01-27,India
EPI_ISL_451328,2020-02-02,China
EPI_ISL_410719,2020-02-02,Singapore
EPI_ISL_408670,2020-01-31,USA
EPI_ISL_402124,2019-12-30,China
EPI_ISL_417178,2020-01-25,Hong Kong
EPI_ISL_402125,2019-12-26,China
EPI_ISL_403929,2019-12-30,China
EPI_ISL_402119,2019-12-30,China
EPI_ISL_450410,2020-01-31,Hong Kong
EPI_ISL_409067,2020-01-29,USA
EPI_ISL_445329,2020-03-23,Chile
EPI_ISL_435134,2020-02-08,United Arab Emirates
EPI_ISL_408669,2020-01-29,Japan
EPI_ISL_454915,2020-02-24,China
EPI_ISL_418799,2020-02-28,Australia
EPI_ISL_435138,2020-02-25,United Arab Emirates
EPI_ISL_437623,2020-01-08,Thailand
EPI_ISL_403962,2020-01-08,Thailand
EPI_ISL_428488,2020-01-31,Taiwan
EPI_ISL_428489,2020-01-31,Taiwan
EPI_ISL_416829,2020-01-24,Malaysia
EPI_ISL_430443,2020-01-28,Malaysia
EPI_ISL_416866,2020-01-24,Malaysia
EPI_ISL_407987,2020-01-25,Singapore
EPI_ISL_422429,2020-02-16,Singapore
EPI_ISL_410537,2020-02-09,Singapore
EPI_ISL_422410,2020-03-13,Taiwan
EPI_ISL_434694,2020-01-22,Thailand
EPI_ISL_455369,2020-03-02,China
EPI_ISL_455374,2020-02-10,China
EPI_ISL_450409,2020-01-30,Hong Kong
EPI_ISL_408431,2020-01-29,France
EPI_ISL_455793,2020-02-29,Malaysia
EPI_ISL_421654,2020-03-25,Latvia
EPI_ISL_410218,2020-02-05,Taiwan
EPI_ISL_459909,2020-03-02,China
EPI_ISL_404253,2020-01-21,USA
EPI_ISL_421233,2020-01-21,China
EPI_ISL_450489,2020-01-25,China
EPI_ISL_408010,2020-01-29,USA
EPI_ISL_429088,2020-02-01,China
EPI_ISL_454950,2020-03-20,China
EPI_ISL_429077,2020-02-07,China
EPI_ISL_429074,2020-02-07,China
EPI_ISL_462293,2020-02-09,Singapore
EPI_ISL_429076,2020-02-07,China
EPI_ISL_403963,2020-01-13,Thailand
EPI_ISL_406973,2020-01-23,Singapore
EPI_ISL_418269,2020-01-22,Vietnam
EPI_ISL_418267,2020-01-22,Vietnam
EPI_ISL_456193,2020-03-20,New Zealand
EPI_ISL_416907,2020-02-06,Malaysia
EPI_ISL_430444,2020-02-12,Malaysia
EPI_ISL_455792,2020-02-09,Malaysia
EPI_ISL_455791,2020-02-08,Malaysia
EPI_ISL_430439,2020-03-05,Malaysia
EPI_ISL_420890,2020-03-09,Japan
EPI_ISL_438972,2020-03-27,Japan
EPI_ISL_463007,2020-04-12,Taiwan
EPI_ISL_455141,2020-04-03,Netherlands
EPI_ISL_454752,2020-02-28,Netherlands
EPI_ISL_461276,2020-04-29,Netherlands
EPI_ISL_422893,2020-03-19,Netherlands
EPI_ISL_461101,2020-02-29,Netherlands
EPI_ISL_438032,2020-03-13,Austria
EPI_ISL_422805,2020-03-08,Netherlands
EPI_ISL_455391,2020-02-04,China
EPI_ISL_410044,2020-01-27,USA
EPI_ISL_410532,2020-01-23,Japan
EPI_ISL_447914,2020-01-25,Thailand
EPI_ISL_437621,2020-01-25,Thailand
EPI_ISL_410531,2020-01-25,Japan
EPI_ISL_411915,2020-01-25,Taiwan
EPI_ISL_407079,2020-01-29,Finland
EPI_ISL_412872,2020-02-01,South Korea
EPI_ISL_436583,2020-04-08,USA
